  ~ 0.2173327941785059
а ~ 0.06122637052769563
б ~ 0.0172839601869472
в ~ 0.035823220950557524
г ~ 0.013537867659882876
д ~ 0.02408971329623845
е ~ 0.06762991069063924
ж ~ 0.008666526279706807
з ~ 0.012636979561639564
и ~ 0.052695063589694564
й ~ 0.007799658334313028
к ~ 0.03280490131356547
л ~ 0.03485084746784557
м ~ 0.02347433610102349
н ~ 0.04931802512582074
о ~ 0.08840029059239421
п ~ 0.0232697845490801
р ~ 0.03244704375637609
с ~ 0.039246337342974384
т ~ 0.048432209247194304
у ~ 0.02198218635895223
ф ~ 0.000830263983467067
х ~ 0.00731648603688043
ц ~ 0.0026918984235750187
ч ~ 0.015131647225656535
ш ~ 0.007262226046259657
щ ~ 0.002399927997853716
ы ~ 0.014681633811381076
ь ~ 0.015883535667115818
э ~ 0.001981781562196806
ю ~ 0.004476879861059973
я ~ 0.014395692273506526
